"PRODUCT","PHYSICAL","LOGICAL","GMI FC","R&N A.C.N","GROUP","CLEARING ADMIN","CRP CODE","COMMODITY REFERENCE PRICE (CRP)","PAIRED SWAP BASIS","REPORTABLE LEVEL"
"Dollar Based Currency Pairs US Dollar/Canadian Dollar","SV","SV ","","","","FOREX","","","","",
"Cross Currency Pairs British Pound Sterling/Japanese Yen Futures","SY","SY ","SY","2242","","FOREX","","","","",
"ICE WTI Crude Futures","T","WBS","CS","R755","","ICE WTI","","","","",
"ICE WTI Crude Futures TAS","T","WBS","CS","R755","","ICE WTI","","","","",
"ICE WTI, American-Style Options","T","WBS","CS","R755","","ICE WTI","","","","",
"Russell 2000 Index Mini TAS","TF","TF ","TF","OQ31","","Russell Indices","","","","",
"Russell 2000&reg; Index Mini Futures","TF","TF ","TF","OQ31","","Russell Indices","","","","",
"Russell 2000&reg; Index Mini Options","TF","TF ","TF","OQ31","","Russell Indices","","","","",
"ICE Dutch TTF Gas Daily Futures","TTD","TTD","WA","","","Dutch TTF","","","","",
"ICE Dutch TTF Gas Futures","TTF","TTF","WB","","","Dutch TTF","","","","",
"ICE Central Appalachian Coal Futures","UCA","UCA","","","","Cen App Coal","","","","",
"ICE Powder River Basin Coal Futures","UCP","UCP","","","","PowRvrBas Coal","","","","",
"ICE CSX Coal Futures","UCX","UCX","","","","CSX Coal","","","","",
"Low Sulphur Gasoil Futures","ULS","ULS","","","","IPE e-Gas Oil","","","","",
"Low Sulphur Gasoil Futures Singapore MM","ULS","ULS","","","","IPE e-Gas Oil","","","","",
"Low Sulphur Gasoil Futures TAS","ULS","ULS","","","","IPE e-Gas Oil","","","","",
"Low Sulphur Gasoil Futures US MM","ULS","ULS","","","","IPE e-Gas Oil","","","","",
"Low Sulphur Gasoil Options","ULS","ULS","","","","IPE e-Gas Oil","","","","",
"Dollar Based Currency Pairs US Dollar/Czech Koruna","VC","VC ","","","","FOREX","","","","",
"Dollar Based Currency Pairs US Dollar/Hungarian Forint","VU","VU ","","","","FOREX","","","","",
"ICE UK Base Electricity Futures (Monthly)","Y","BPM","3A","P640","","IPE Baseld. EFA","","","","",
"Cross Currency Pairs Australian Dollar/Japanese Yen Futures","YA","YA ","","","","FOREX","","","","",
"NYSE Composite Index Futures","YU","XXX","","","","NYSE Comp","","","","",
"Euro Currency Pairs Euro/South African Rand Futures","YZ","YZ ","","","","FOREX","","","","",
"ICE UK Peak Electricity Futures (Daily)","Z","PPD","PD","P639","","IPE Peak EFA","","","","",
"Cross Currency Pairs New Zealand Dollar/Japanese Yen Futures","ZJ","ZJ ","","","","FOREX","","","","",
"Dollar Based Currency Pairs US Dollar/S.African Rand","ZR","ZR ","","","","FOREX","","","","",
"Dollar Based Currency Pairs New Zealand Dollar/US Dollar","ZX","ZX ","","","","FOREX","","","","",
"Cross Currency Pairs Swiss Franc/Japanese Yen Futures","ZY","ZY ","","6607","","FOREX","","","","",
